one, two,three
90,2010,12.3
90,2011,12.1
90,2012,12
90,2013,12.9
90,2014,13.2
90,2015,12.6
90,2016,12.8
90,2017,13.1
90,2018,12.6
90,2019,13.8
90,2020,13.3
90,2021,13.2
93,2017,11.3
93,2018,11.2
93,2019,11.7
93,2020,11.4
93,2021,11.6
95,2010,10.1
95,2011,9.8
95,2012,9.6
95,2013,10
95,2014,11
95,2015,11.1
95,2016,11.2
95,2017,10.5
95,2018,10.4
95,2020,11
95,2021,11.3
98,2010,10.9
98,2011,10.7
98,2012,11
98,2013,11.4
98,2014,12.1
98,2015,12.4
98,2016,12.6
98,2017,11.8
98,2018,11.7
98,2019,12
98,2020,11.8
98,2021,12.1
99,2010,10.6
99,2011,10.4
99,2012,10.9
99,2013,11
99,2014,11.4
99,2015,11.6
99,2016,11.7
99,2017,10.5
99,2018,10.5
99,2019,11.3
99,2020,11.2
99,2021,11.5
100,2010,7.2
100,2011,6.8
100,2012,6.5
100,2013,7.5
100,2014,7.7
100,2015,8
100,2016,8.1
100,2017,7.3
100,2018,7.2
100,2019,8.1
100,2020,7.8
100,2021,7.9
101,2010,11
101,2011,10.7
101,2012,10.7
101,2013,11.1
101,2014,12.1
101,2015,12.5
101,2016,12.4
101,2017,11.7
101,2018,11.6
101,2019,12.3
101,2020,12.2
101,2021,12.4
102,2010,10.9
102,2011,10.2
102,2012,10.5
102,2013,10.6
102,2014,11.6
102,2015,11.9
102,2016,11.9
102,2017,11.8
102,2018,11
102,2019,12
102,2020,12.1
102,2021,12.5
104,2010,12.2
104,2011,11.8
104,2012,11.8
104,2013,12.6
104,2014,12.8
104,2015,13.1
104,2016,13.1
104,2017,13.1
104,2018,12.7
104,2019,13.6
104,2020,13.1
104,2021,13.1
105,2010,13
105,2011,12.6
105,2012,12.6
105,2013,13.6
105,2014,13.8
105,2015,13.9
105,2016,13.8
105,2017,13.9
105,2018,13.7
105,2019,14.7
105,2020,14.3
105,2021,14.6
106,2010,12.5
106,2011,12.1
106,2012,12.2
106,2013,13.2
106,2014,13.3
106,2015,13.8
106,2016,14.2
106,2017,14.1
106,2018,13.2
106,2019,13.4
106,2020,12.9
106,2021,13.5
108,2010,12.1
108,2011,12
108,2012,12.2
108,2013,12.5
108,2014,13.4
108,2015,13.6
108,2016,13.6
108,2017,13
108,2018,12.9
108,2019,13.5
108,2020,13.2
108,2021,13.7
112,2010,12.3
112,2011,12
112,2012,12.1
112,2013,11.9
112,2014,12.8
112,2015,13.1
112,2016,13.3
112,2017,12.5
112,2018,12.5
112,2019,13.2
112,2020,12.8
112,2021,13.4
114,2010,12
114,2011,11.7
114,2012,11.4
114,2013,11.9
114,2014,12.8
114,2015,13.6
114,2016,13.4
114,2017,12.1
114,2018,12.4
114,2019,13
114,2020,12.8
114,2021,13
115,2010,12.6
115,2011,12.1
115,2012,11.9
115,2013,12.7
115,2014,12.8
115,2015,13.1
115,2016,13.2
115,2017,13.1
115,2018,13
115,2019,13.7
115,2020,13.4
115,2021,13.5
119,2010,12.2
119,2011,11.8
119,2012,12.1
119,2013,12.3
119,2014,13.1
119,2015,13.5
119,2016,13.6
119,2017,12.6
119,2018,12.7
119,2019,13.2
119,2020,12.9
119,2021,13.4
121,2010,11.2
121,2011,11
121,2012,10.8
121,2013,11.3
121,2014,11.9
121,2015,12.4
121,2016,12.4
121,2017,11.7
121,2018,11.5
121,2019,12.1
121,2020,11.9
121,2021,12.1
127,2010,11.5
127,2011,11.4
127,2012,11.5
127,2013,11.8
127,2014,12.2
127,2015,12.7
127,2016,12.9
127,2017,12
127,2018,12
127,2019,12.3
127,2020,12.1
127,2021,12.4
129,2010,11.7
129,2011,11.6
129,2012,11.5
129,2013,11.8
129,2014,12.3
129,2015,12.7
129,2016,12.9
129,2017,12.2
129,2018,12.2
129,2019,12.7
129,2020,12.6
129,2021,13.2
130,2010,12.3
130,2011,12
130,2012,11.9
130,2013,12.8
130,2014,12.9
130,2015,13.2
130,2016,13.2
130,2017,13.2
130,2018,13
130,2019,13.9
130,2020,13.4
130,2021,13.5
131,2010,13
131,2011,12.8
131,2012,12.7
131,2013,13.3
131,2014,13.9
131,2015,14
131,2016,13.9
131,2017,13.4
131,2018,13.5
131,2019,14.2
131,2020,13.9
131,2021,14.4
133,2010,12.7
133,2011,12.6
133,2012,12.6
133,2013,13.1
133,2014,13.4
133,2015,14
133,2016,14
133,2017,13.4
133,2018,13.5
133,2019,14
133,2020,13.7
133,2021,14.3
135,2010,11.6
135,2011,11.5
135,2012,11.2
135,2013,11.8
135,2014,11.7
135,2015,12.2
135,2016,12.4
135,2017,11.9
135,2018,11.9
135,2019,12.4
135,2020,12
135,2021,12.3
136,2010,12.2
136,2011,12.2
136,2012,12.2
136,2013,12.4
136,2014,12.5
136,2015,12.9
136,2016,13.2
136,2017,12.6
136,2018,12.7
136,2019,12.9
136,2020,12.6
136,2021,12.7
137,2010,12.1
137,2011,12
137,2012,11.7
137,2013,12.4
137,2014,12.7
137,2015,13.7
137,2016,13.8
137,2017,13.3
137,2018,13.1
137,2019,13.4
137,2020,13.1
137,2021,13.2
138,2010,14.6
138,2011,14.3
138,2012,14.1
138,2013,14.9
138,2014,14.6
138,2015,14.8
138,2016,15.2
138,2017,15
138,2018,14.8
138,2019,15.5
138,2020,15.1
138,2021,15.2
140,2010,12.9
140,2011,12.2
140,2012,12.3
140,2013,12.6
140,2014,13
140,2015,13.4
140,2016,13.8
140,2017,13.1
140,2018,13.2
140,2019,13.5
140,2020,13.4
140,2021,13.9
143,2010,14.4
143,2011,14.3
143,2012,14.1
143,2013,15
143,2014,14.9
143,2015,14.8
143,2016,14.6
143,2017,14.4
143,2018,14.1
143,2019,14.8
143,2020,14.5
143,2021,14.6
146,2010,13.5
146,2011,13.1
146,2012,13.2
146,2013,13.8
146,2014,13.9
146,2015,14.2
146,2016,14.3
146,2017,13.6
146,2018,13.9
146,2019,14.2
146,2020,14
146,2021,14.6
152,2010,14
152,2011,13.7
152,2012,13.7
152,2013,14.8
152,2014,14.7
152,2015,15
152,2016,14.8
152,2017,14.5
152,2018,14.3
152,2019,14.9
152,2020,14.6
152,2021,14.9
155,2010,14.5
155,2011,14.3
155,2012,14.2
155,2013,15
155,2014,14.9
155,2015,14.6
155,2016,14.9
155,2017,14.8
155,2018,14.2
155,2019,14.6
155,2020,14.4
155,2021,14.9
156,2010,14.2
156,2011,13.7
156,2012,13.7
156,2013,14.2
156,2014,14.3
156,2015,14.6
156,2016,15
156,2017,14.6
156,2018,14.6
156,2019,14.7
156,2020,14.5
156,2021,15.1
159,2010,14.9
159,2011,14.6
159,2012,14.5
159,2013,15.3
159,2014,15.1
159,2015,15.4
159,2016,15.7
159,2017,15.2
159,2018,15.1
159,2019,15.7
159,2020,15.2
159,2021,15.7
162,2010,14
162,2011,13.8
162,2012,13.7
162,2013,14.5
162,2014,14.7
162,2015,14.8
162,2016,15.3
162,2017,14.9
162,2018,14.8
162,2019,15.3
162,2020,15
162,2021,15.6
165,2010,13.5
165,2011,13
165,2012,13.1
165,2013,13.8
165,2014,13.9
165,2015,14.4
165,2016,14.8
165,2017,14.3
165,2018,14.4
165,2019,14.3
165,2020,14
165,2021,15.1
168,2010,14.3
168,2011,14
168,2012,14
168,2013,14.7
168,2014,14.7
168,2015,14.9
168,2016,15.3
168,2017,15
168,2018,14.9
168,2019,15.4
168,2020,15.1
168,2021,15.7
169,2010,13.3
169,2011,12.9
169,2012,13.5
169,2013,13.7
169,2014,14.1
169,2015,13.6
169,2016,13.7
169,2017,13.5
169,2018,13.8
169,2019,14.1
169,2020,14.1
169,2021,15.3
170,2010,14
170,2011,13.9
170,2012,13.9
170,2013,14.6
170,2014,14.5
170,2015,14.5
170,2016,15.1
170,2017,14.9
170,2018,14.8
170,2019,15
170,2020,14.9
170,2021,15.6
172,2011,13
172,2012,13
172,2013,13
172,2014,12.9
172,2015,13.4
172,2016,14
172,2017,13.1
172,2018,13.3
172,2019,13.4
172,2020,13.3
172,2021,14
174,2012,12.3
174,2013,12.7
174,2014,12.6
174,2015,13.2
174,2016,13.9
174,2017,12.7
174,2018,12.7
174,2019,13.1
174,2020,13
174,2021,13.5
175,2010,11.6
175,2011,11.3
175,2012,11.2
175,2013,11.6
175,2014,11.8
175,2015,11.7
175,2016,12.4
175,2017,12.4
175,2018,12.2
176,2014,14
177,2016,13.2
177,2017,12.6
177,2018,12.4
177,2019,12.7
177,2020,12.8
177,2021,13.3
184,2010,15.6
184,2011,15.6
184,2012,15.7
184,2013,16.5
184,2014,16.2
184,2015,16.7
184,2016,17
184,2017,16.8
184,2018,16.6
184,2019,16.8
184,2020,16.7
184,2021,17.5
185,2010,15.7
185,2011,15.4
185,2012,15.6
185,2013,15.5
185,2014,15.5
185,2015,15.6
185,2016,16.2
185,2017,16
185,2018,16.1
185,2019,16.2
185,2020,16
185,2021,17
188,2010,15.1
188,2011,15.4
188,2012,15.4
188,2013,15.9
188,2014,15.6
188,2015,15.7
188,2016,16.3
188,2017,15.9
188,2018,15.7
188,2019,16.1
188,2020,16
188,2021,16.7
189,2010,16.9
189,2011,16.7
189,2012,16.7
189,2013,17.4
189,2014,17
189,2015,16.7
189,2016,17
189,2017,17
189,2018,16.7
189,2019,17.3
189,2020,16.8
189,2021,17.5
192,2010,13.1
192,2011,13
192,2012,12.7
192,2013,13.4
192,2014,13.2
192,2015,13.4
192,2016,13.8
192,2017,13.5
192,2018,13.4
192,2019,13.9
192,2020,13.7
192,2021,14.1
201,2010,10.9
201,2011,10.7
201,2012,10.7
201,2013,10.8
201,2014,11.8
201,2015,12
201,2016,12.1
201,2017,11.5
201,2018,11.3
201,2019,12.2
201,2020,11.9
201,2021,12.3
202,2010,11.4
202,2011,11.3
202,2012,11.4
202,2013,11.7
202,2014,12.4
202,2015,12.9
202,2016,12.9
202,2017,12.2
202,2018,12.1
202,2019,12.7
202,2020,12.5
202,2021,12.7
203,2010,11.1
203,2011,11
203,2012,11.1
203,2013,11.4
203,2014,11.9
203,2015,12.4
203,2016,12.7
203,2017,11.7
203,2018,11.7
203,2019,12.3
203,2020,12.5
203,2021,12.7
211,2010,10.2
211,2011,9.4
211,2012,10
211,2013,10.6
211,2014,11.1
211,2015,11.1
211,2016,11.2
211,2017,10.5
211,2018,10.1
211,2019,11.2
211,2020,11.2
211,2021,11.4
212,2010,10.9
212,2011,10.7
212,2012,10.6
212,2013,10.8
212,2014,11.7
212,2015,12.2
212,2016,12.3
212,2017,11.3
212,2018,11.2
212,2019,12.1
212,2020,11.6
212,2021,11.8
216,2010,9
216,2011,8.6
216,2012,8.4
216,2013,9.4
216,2014,9.3
216,2015,9.8
216,2016,9.8
216,2017,9
216,2018,9.3
216,2019,9.9
216,2020,9.6
216,2021,9.5
217,2011,9.8
217,2012,9.9
217,2013,10.5
217,2014,10.8
217,2015,11.4
217,2016,11.5
217,2017,10.8
217,2018,10.6
217,2019,11.2
217,2020,11
217,2021,11.4
221,2010,9.9
221,2011,9.7
221,2012,9.6
221,2013,10.1
221,2014,10.6
221,2015,11.1
221,2016,11.3
221,2017,10.5
221,2018,10.5
221,2019,11.1
221,2020,11
221,2021,11.2
226,2010,11
226,2011,10.8
226,2012,10.7
226,2013,11.2
226,2014,11.5
226,2015,12
226,2016,12.3
226,2017,11.5
226,2018,11.6
226,2019,12.2
226,2020,11.7
226,2021,12.1
232,2010,12.2
232,2011,12
232,2012,11.9
232,2013,12.3
232,2014,12.8
232,2015,13
232,2016,12.7
232,2017,11.8
232,2018,11.8
232,2019,12
232,2020,12.2
232,2021,12.5
235,2010,13
235,2011,12.1
235,2012,12.2
235,2013,12.4
235,2014,12.9
235,2015,13.3
235,2016,13.6
235,2017,12.8
235,2018,13
235,2019,13.2
235,2020,13.1
235,2021,13.8
236,2010,12.7
236,2011,12.2
236,2012,11.8
236,2013,12.2
236,2014,12.7
236,2015,12.9
236,2016,13.3
236,2017,12.5
236,2018,12.7
236,2019,12.9
236,2020,12.8
236,2021,13.3
238,2010,11.6
238,2011,11.3
238,2012,11.1
238,2013,11.8
238,2014,12.1
238,2015,12.6
238,2016,12.7
238,2017,11.8
238,2018,12
238,2019,12.4
238,2020,12.5
238,2021,12.9
239,2020,13.1
239,2021,13.5
243,2010,12.8
243,2011,12.5
243,2012,12.5
243,2013,12.9
243,2014,13.1
243,2015,13.5
243,2016,13.8
243,2017,13.2
243,2018,13.3
243,2019,13.7
243,2020,13.5
243,2021,14
244,2010,11.5
244,2011,10.7
244,2012,10.6
244,2013,11.2
244,2014,11.5
244,2015,12.1
244,2016,12.5
244,2017,11.6
244,2018,12
244,2019,12.2
244,2020,12
244,2021,12.5
245,2010,13.7
245,2011,13
245,2012,13.1
245,2013,13.7
245,2014,13.7
245,2015,14.1
245,2016,14.3
245,2017,13.1
245,2018,13.1
245,2019,13.3
245,2020,13.2
245,2021,13.8
247,2010,11.6
247,2011,12
247,2012,11.9
247,2013,12.6
247,2014,12.7
247,2015,12.8
247,2016,13.5
247,2017,12.7
247,2018,13
247,2019,13.3
247,2020,13.1
247,2021,13.4
248,2010,11
248,2011,10.4
248,2012,10.2
248,2013,10.7
248,2014,11
248,2015,11.5
248,2016,11.7
248,2017,10.8
248,2018,11.1
248,2019,11.4
248,2020,11.2
248,2021,11.6
251,2010,13.6
251,2011,13.2
251,2012,13.2
251,2013,13.5
251,2014,13.9
251,2015,13.9
251,2016,14.3
251,2017,13.5
251,2018,12.8
251,2019,13.2
251,2020,13.3
251,2021,14
252,2010,13
252,2011,12.5
252,2012,12.6
252,2013,13.1
252,2014,13.2
252,2015,13.5
252,2016,13.7
252,2017,12.9
252,2018,13.1
252,2019,13.3
252,2020,13.3
252,2021,14
253,2010,15.5
253,2011,15.3
253,2012,14.6
253,2013,14.9
253,2014,14.8
253,2015,15.3
253,2016,15.4
253,2017,14.6
253,2018,14.8
253,2019,15.5
253,2020,14.8
253,2021,15.1
254,2010,12.4
254,2011,12.6
254,2012,12.5
254,2013,13
254,2014,13.1
254,2015,13.3
254,2016,12.7
254,2017,12.2
254,2018,12.8
254,2019,13
254,2020,13
254,2021,13.6
255,2010,14.1
255,2011,13.9
255,2012,13.7
255,2013,14.5
255,2014,14.4
255,2015,14.5
255,2016,14.9
255,2017,14.7
255,2018,14.4
255,2019,14.2
255,2020,15.2
255,2021,15.8
256,2010,13
257,2010,14.7
257,2011,14.6
257,2012,14.3
257,2013,15
257,2014,14.6
257,2015,14.9
257,2016,15.3
257,2017,15.1
257,2018,14.8
257,2019,15.4
257,2020,15
257,2021,15.4
258,2011,13.7
258,2012,13.6
258,2013,14.2
258,2014,14.2
258,2015,14.6
258,2016,14.7
258,2017,14.1
258,2018,14.1
258,2019,14.3
258,2020,14.6
258,2021,15
259,2010,13.3
259,2011,13.1
259,2012,13.1
259,2013,13.6
259,2014,13.6
259,2015,13.9
259,2016,14.4
259,2018,14
259,2019,14.3
259,2020,14.2
259,2021,14.8
260,2010,13.6
260,2011,13.5
260,2012,13.3
260,2013,13.7
260,2014,13.7
260,2015,13.9
260,2016,14.3
260,2017,13.8
260,2018,13.8
260,2019,14.2
260,2020,13.7
260,2021,14.2
261,2010,13.7
261,2011,13
261,2012,13.2
261,2013,13.7
261,2014,13.7
261,2015,13.9
261,2016,14
261,2017,13.4
261,2018,13.2
261,2019,13.2
261,2020,13.4
261,2021,13.9
262,2010,13.7
262,2011,13.7
262,2012,13.5
262,2013,14
262,2014,14
262,2015,14.1
262,2016,14.2
262,2017,13.7
262,2018,13.6
262,2019,13.9
262,2020,13.6
262,2021,14.3
263,2011,13
263,2012,12.8
263,2013,12.8
263,2014,12.2
263,2015,12.9
263,2016,13.3
263,2017,13.6
263,2018,13.5
263,2019,14
263,2020,13.9
263,2021,14.3
264,2011,12.3
264,2012,12.2
264,2013,12.8
264,2014,12.6
264,2015,13
264,2016,13.6
264,2017,12.8
264,2018,12.7
264,2019,13.2
264,2020,13
264,2021,13.3
266,2012,14.7
266,2013,15.1
266,2014,14.9
266,2015,15.4
266,2016,15.4
266,2017,14.9
266,2018,14.8
266,2019,15.4
266,2020,15
266,2021,15.5
268,2015,14.1
268,2016,14.5
268,2017,14
268,2018,14.1
268,2019,14.2
268,2020,14.2
271,2010,9.5
271,2011,9.6
271,2012,9.1
271,2013,9.6
271,2014,9.9
271,2015,10.3
271,2016,10.8
271,2017,10.3
271,2018,10.3
271,2019,11
271,2020,10.8
271,2021,10
272,2010,11.3
272,2011,11.4
272,2012,11.2
272,2013,11.6
272,2014,12
272,2015,12.5
272,2016,12.3
272,2017,11.6
272,2018,11.6
272,2019,12.1
272,2020,12
272,2021,12
273,2010,11.2
273,2011,11.6
273,2012,11.5
273,2013,12.1
273,2014,12.2
273,2015,12.5
273,2016,12.3
273,2017,12.4
273,2018,12.4
273,2019,12.9
273,2020,12.5
273,2021,12.5
276,2011,10.7
276,2012,10.4
276,2013,11
276,2014,11
276,2015,11.6
276,2016,11.8
276,2017,11.2
276,2018,11.2
276,2019,11.7
276,2020,11.5
276,2021,11.5
277,2010,13.3
277,2011,13.1
277,2012,12.9
277,2013,13.5
277,2014,12.9
277,2015,13.5
277,2016,13.8
277,2017,13.7
277,2018,13.4
277,2019,14.3
277,2020,13.5
277,2021,13.5
278,2010,11.7
278,2011,11.5
278,2012,11.3
278,2013,11.9
278,2014,11.7
278,2015,12.1
278,2016,12.7
278,2017,11.9
278,2018,12.4
278,2019,12.9
278,2020,12.3
278,2021,12.4
279,2010,13.1
279,2011,12.8
279,2012,12.5
279,2013,13.4
279,2014,13.5
279,2015,14.1
279,2016,14.2
279,2017,13.7
279,2018,13.6
279,2019,14.2
279,2020,13.9
279,2021,13.9
281,2010,12.4
281,2011,12.5
281,2012,12.3
281,2013,13
281,2014,12.8
281,2015,13.5
281,2016,13.9
281,2017,13.5
281,2018,13.3
281,2019,14.1
281,2020,13.3
281,2021,13.3
283,2011,12.5
283,2012,12.4
283,2013,13.2
283,2014,12.9
283,2015,13.5
283,2016,14
283,2017,13.7
283,2018,13.5
283,2019,14.1
283,2020,13.9
283,2021,13.9
284,2010,11.8
284,2011,11.6
284,2012,11.4
284,2013,12
284,2014,12
284,2015,12.4
284,2016,12.7
284,2017,12.2
284,2018,12.3
284,2019,12.7
284,2020,12.5
284,2021,12.8
285,2010,13.2
285,2011,13.2
285,2012,12.9
285,2013,13.3
285,2014,13.1
285,2015,13.4
285,2016,13.8
285,2017,13.5
285,2018,13.3
285,2019,13.8
285,2020,13.5
285,2021,13.9
288,2010,13.6
288,2011,13.5
288,2012,13.4
288,2013,14.1
288,2014,14
288,2015,14.2
288,2016,14.7
288,2017,14.2
288,2018,13.8
288,2019,14.3
288,2020,14.1
288,2021,14.5
289,2010,13
289,2011,13.1
289,2012,12.8
289,2013,13.3
289,2014,13
289,2015,13.3
289,2016,13.8
289,2017,13.3
289,2018,13.1
289,2019,13.7
289,2020,13.3
289,2021,13.6
294,2010,14.4
294,2011,14.1
294,2012,14.2
294,2013,14.9
294,2014,14.8
294,2015,14.9
294,2016,15.6
294,2017,15.2
294,2018,15
294,2019,15.6
294,2020,14.7
294,2021,15.2
295,2010,14.2
295,2011,14.1
295,2012,13.9
295,2013,14.8
295,2014,14.7
295,2015,14.7
295,2016,15.1
295,2017,14.9
295,2018,14.6
295,2019,15.2
295,2020,14.6
295,2021,15.1